{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 11:40:38'}
{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 11:40:43'}
{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 11:40:49'}
{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 11:40:54'}
{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 15:40:57'}
{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 15:41:14'}
{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 15:41:19'}
{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 15:41:24'}
{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 15:41:29'}
{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 15:41:34'}
{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 15:41:39'}
{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 15:41:44'}
{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 15:42:45'}
{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 15:42:50'}
